No,,name,address,경도,위도,상태
1,500,전남화순대학교병원,전라남도 화순군 화순읍 서양로 322,127.003219867668,35.0611775658312,정좌표
2,501,화순성심병원,전라남도 화순군 화순읍 만연로 31,126.989880113596,35.0584395740897,정좌표
3,502,곡성군보건의료원,전라남도 곡성군 곡성읍 곡성로 854,127.296904149143,35.2788663371234,정좌표
4,503,곡성사랑병원,전라남도 곡성군 곡성읍 곡성로 761,127.28841161841,35.2762570478222,정좌표
5,504,구례군보건의료원,전라남도 구례군 구례읍 동편제길 30,127.461536175423,35.2163338281996,정좌표
6,505,구례병원,전라남도 구례군 구례읍 동편제길 4,127.463944038619,35.2159197817569,정좌표
7,506,완도군보건의료원,전라남도 완도군 완도읍 죽청리 483-8 완도보건의료원 본관,126.731316133834,34.3362415501324,정좌표
8,507,대성병원,전라남도 완도군읍 청해진동로 63,126.735434411887,34.3164877146945,정좌표
9,508,장성군보건소,전라남도 장성군 장성읍 청운 11길 13,126.782453977808,35.3045417944229,정좌표
10,509,장성병원,전라남도 장성군 장성읍 역전로 171,126.783214319444,35.3060205420831,정좌표
11,510,경산시보건소,경상북도 경산시 중방동 708-5 (경산시보건소),128.743073034498,35.8247862281521,정좌표
12,511,경산중앙병원,경상북도 경산시 경안로 11,128.74012911366,35.8093170886573,정좌표
13,512,세명병원,경상북도 경산시 경안로 208,128.737523351071,35.8261241367819,정좌표
14,513,경주시보건소,경상북도 경주시 황성공원로 30(황성동),129.211975815919,35.8599808308558,정좌표
15,514,동국대 경주병원,경상북도 경주시 동대로 87,129.196560822792,35.8583165169714,정좌표
16,515,고령군보건소,경상북도 고령군 대가야읍 지산리 232-8 고령군보건소,128.264851720576,35.725043915824,정좌표
17,516,고령영생병원,경상북도 고령군 대가야읍 중앙로33,128.272262950791,35.7301496273229,정좌표
18,517,구미보건소,경상북도 구미시 선산대로 111,128.345954034479,36.1399354248129,정좌표
19,518,순천향대학교구미병원,경상북도 구미시 1공단로 179,128.382830540316,36.1034092035684,정좌표
20,519,구미차병원,경상북도 구미시 신시로10길 12,128.340708523036,36.1145983669425,정좌표
21,520,구미강동병원,경상북도 구미시 인동20길 46,128.42278338727,36.0962044912631,정좌표
22,521,군위군보건소,경상북도 군위군 군위읍 군청로 70 군위군보건소,128.569904083489,36.2296594653732,정좌표
23,522,김천시보건소,경상북도 김천시 신음동 1284,128.113766366171,36.1398712539395,정좌표
24,523,김천제일병원,경상북도 김천시 신음1길 12,128.118823376793,36.1354528937131,정좌표
25,524,김천의료원,경상북도 김천시 모암길 24,128.12659208513,36.1225180551589,정좌표
26,525,문경시보건소,경상북도 문경시 점촌동(점촌1동) 232 문경시보건소,128.197566244727,36.5962450350955,정좌표
27,526,문경제일병원,경상북도 문경시 당교3길 25,128.189329329961,36.58447585582,정좌표
28,527,문경중앙병원,경상북도 문경시 중앙로 117-18,128.199081424531,36.5960031493799,정좌표
29,528,봉화군보건소,경상북도 봉화군 봉화읍 내성리 285 봉화군보건소,128.741968290051,36.8906288062087,정좌표
30,529,봉화해성병원,경상북도 봉화군 보밑길3 봉화해성병원,128.733507436889,36.8916972632189,정좌표
31,530,상주시보건소,경상북도 상주시 무양동 33-4,128.15017359236,36.4164471779536,정좌표
32,531,상주적십자병원,경상북도 상주시 상서문로 53,128.15530627659,36.414451915156,정좌표
33,532,상주성모병원,경상북도 상주시 냉림서성길,128.160739448987,36.4198721965108,인근좌표
34,533,구미시선산보건소,경상북도 구미시 선산읍 선주로121,128.299942818547,36.2441707686125,정좌표
35,534,성주군보건소,경상북도 성주군 성주읍 성밖숲길 2,128.278804411453,35.9176425375224,정좌표
36,535,안동시보건소,경상북도 안동시 북문동(중구동) 58 안동시보건소,128.730080526542,36.5669311407826,정좌표
37,536,안동병원,경상북도 안동시 앙실로 11 (수상동),128.700162213615,36.547387624757,정좌표
38,537,안동성소병원,경상북도 안동시 서동문로 99,128.722669774129,36.5674651855229,정좌표
39,538,경상북도안동의료원,경상북도 안동시 태사2길 55,128.731525746751,36.5682349044828,정좌표
40,539,영덕군보건소,경상북도 영덕군 영덕읍 군청길 53,129.37355811828,36.4135449693384,정좌표
41,540,영덕아산병원,경상북도 영덕읍 영덕로 1621,129.402342643515,36.523678452455,정좌표
42,541,영양군보건소,경상북도 영양군 영양읍 동부리 동서대로 82번지,129.118064014313,36.6619469483406,정좌표
43,542,영주시보건소,경상북도 영주시 휴천동(휴천2동) 466-6 영주시보건소,128.621901265755,36.8062392915436,정좌표
44,543,영주적십자병원,경상북도 영주시 대학로 327,128.604004056165,36.8252567627138,정좌표
45,544,영천시보건소,경상북도 영천시 문내동 152-1,128.932492341868,35.968520408314,정좌표
46,545,영남대학교 영천병원,경상북도 영천시영천시 오수1길 10,128.913317034258,35.957352897543,정좌표
47,546,예천군보건소,"경상북도 예천군 예천읍 군청길 33, 예천군보건소",128.452978164924,36.6580107747795,정좌표
48,547,예천권병원,"경상북도 예천군 예천읍 시장로 136, 예천권병원",128.458985633763,36.6573766064987,정좌표
49,548,의성군보건소,경상북도 의성군 의성읍 도서리 104-1,128.697500628658,36.3458271062036,정좌표
50,549,공생병원,경상북도 의성군 의성읍 문소3길 96,128.694697046256,36.3544629669859,정좌표
51,550,청도군보건소,경상북도 청도군 화양읍 범곡리 96,128.73729751993,35.6486217349654,정좌표
52,551,칠곡군보건소,경상북도 칠곡군 왜관읍 석전2리 262-1,128.408639862079,35.9939578501708,정좌표
53,552,포항시남구보건소,경상북도 포항시 남구 인덕동(제철동) 161-1 남구보건소,129.396531385713,35.9924257323051,정좌표
54,553,세명기독병원,경상북도 포항시 남구 대도동 94-8,129.362310294523,36.0177329580644,정좌표
55,554,포항성모병원,경상북도 포항시 남구 대잠동길 17,129.340088450376,36.016554879462,정좌표
56,555,포항시북구보건소,경상북도 포항시 북구 장성동 1363,129.380426711602,36.0706720178353,정좌표
57,556,포항의료원,경상북도 포항시 북구 용흥로 36,129.35456657141,36.0351653066467,정좌표
58,557,울릉군보건의료원,경상북도 울릉군 울릉읍 울릉순환로 396-18,130.898834983616,37.4858943128179,정좌표
59,558,울진군보건소,경상북도 울진군 울진읍 읍내8길 61-8,129.404598682938,36.9958945831797,정좌표
60,559,청송군보건의료원,경상북도 청송군 청송읍 금곡리 1056-54 청송보건의료원,129.052642025941,36.4309623685082,정좌표
61,560,경북북부제2교도소 부속의원,경상북도 청송군 진보면 양정길 110,129.053491842156,36.5335991586535,인근좌표
62,561,거제시보건소,경상남도 거제시 고현동 906번지,128.616253671667,34.8835600852799,정좌표
63,562,거붕백병원,경상남도 거제시 계룡로5길 14,128.627072782705,34.8728787769704,정좌표
64,563,대우병원,경상남도 거제시 두모길16,128.721664899775,34.8723460262039,정좌표
65,564,맑은샘병원,경상남도 거제시 연초면 거제대로 4477,128.643303138304,34.8977121273971,정좌표
66,565,거창군보건소,경상남도 거창군 거창읍 거함대로 3079 거창군보건소,127.898727910593,35.6809360776552,정좌표
67,566,거창적십자병원,경상남도 거창군 거창읍 중앙로91 거창적십자병원,127.909137348339,35.6865205912016,정좌표
68,567,고성군보건소,경상남도 고성군 고성읍 대독리 4 고성군보건소,128.314320277683,34.9695977838651,정좌표
69,568,김해시보건소,경상남도 김해시 외동(내외동) 1261-3 김해시 보건소,128.871104015406,35.2321378850683,정좌표
70,569,김해중앙병원,경상남도 김해시 분성로 94-8 (외동),128.85705375707,35.230852161496,정좌표
71,570,갑을장유병원,경상남도 김해시 장유로 167-13 (부곡동),128.805617558322,35.2086652875547,정좌표
72,571,조은금강병원,경상남도 김해시 김해대로 1814-37 (삼계동),128.861537649805,35.2630933788758,정좌표
73,572,남해군보건소,경상남도 남해군 남해읍 북변리 458-1,127.898983150716,34.8441023123952,정좌표
74,573,이도의료재단 남해병원,경상남도 남해군 남해읍 화전로 169,127.894278638436,34.846470161436,정좌표
75,574,창원시 마산보건소,경상남도 창원시 마산합포구 해운동 61-1,128.563165298569,35.1825260351591,정좌표
76,575,삼성창원병원,창원시 마산회원구 팔용로 158,128.593027517405,35.2430731339782,정좌표
77,576,경상남도마산의료원,창원시 마산합포구 3.15대로 231,128.468391099761,35.1391294476306,인근좌표
78,577,SMG연세병원,창원시 마산합포구 3.15대로 76,128.468391099761,35.1391294476306,인근좌표
79,578,밀양시보건소,경상남도 밀양시 삼문동 159-1 (삼문중앙로41),128.756143865106,35.4856250068353,정좌표
80,579,밀양윤병원,경상남도 밀양시 삼문중앙로 32,128.755622740998,35.4846346125349,정좌표
81,580,사천시보건소,경상남도 사천시 용현면 덕곡리 사천시청 501번지,128.064565179864,35.0034773652812,정좌표
82,581,의료법인승연의료재단 삼천포서울병원,경상남도 사천시 남일로 33(동금동),128.080254705204,34.9334039922646,정좌표
83,582,삼천포제일병원,경상남도 사천시 중앙로136,128.079443567931,34.9371737008562,정좌표
84,583,양산시보건소,경상남도 양산시 중부동 707-2(삽량로 169),129.02495622061,35.3356470626366,정좌표
85,584,베데스다병원,경상남도 양산시 신기로 28,129.043598959945,35.3532333922627,정좌표
86,585,양산부산대학교병원,경상남도 양산시 금오로 20,129.005617176199,35.3278955881449,정좌표
87,586,웅상중앙병원,경상남도 양산시 서창로 59,129.16411191725,35.4066741564691,정좌표
88,587,의령군보건소,경상남도 의령군 의령읍 서동리 534,128.255027551715,35.3176476666298,정좌표
89,588,의령병원,경상남도 의령군 의령읍 의병로14길 10,128.258729884931,35.3185763203002,정좌표
90,589,진주시보건소,"경상남도 진주시 월아산로 2026, 1층 (초전동)",128.120910829422,35.2128834949145,정좌표
91,590,제일병원,경상남도 진주시 진주대로 885,128.089997563377,35.1792875025476,정좌표
92,591,고려병원,경상남도 진주시 동진로 2,128.091971425396,35.1785114255177,정좌표
93,592,반도병원,경상남도 진주시 남강로701,128.088140638911,35.1917569514164,정좌표
94,593,진주복음병원,경상남도 진주시 진양호로 370,128.069542896267,35.1852475569984,정좌표
95,594,진주세란병원,경상남도 진주시 진주대로 829,128.092883933554,35.1746667960431,정좌표
96,595,경상국립대학교병원,경상남도 진주시 강남로 79,128.096410793099,35.1769556733473,정좌표
97,596,한일병원,경상남도 진주시 범골로 17,128.128547288468,35.166964640287,정좌표
98,597,창원시 진해보건소,경상남도 창원시 진해구 풍호동 1 진해보건소,128.7104052277,35.1329455558135,정좌표
99,598,연세에스병원,경상남도 창원시 진해구 해원로32번길 13,128.698334912031,35.1547335335316,정좌표
100,599,세광병원,경상남도 창원시 진해구 중원동로 55-1,128.660913424591,35.1497431480545,정좌표
